Year,League,Player,Team,Base on Balls
2011,NL,Joey Votto,CINCINNATI,110.0
2012,AL,Adam Dunn,CHICAGO,105.0
2012,NL,Dan Uggla,ATLANTA,94.0
2013,AL,Mike Trout,LOS ANGELES,110.0
2013,NL,Joey Votto,CINCINNATI,135.0
2014,AL,Carlos Santana,CLEVELAND,113.0
2014,NL,Matt Carpenter,ST. LOUIS,95.0
2015,AL,Jose Bautista,TORONTO,110.0
2015,NL,Joey Votto,CINCINNATI,143.0
2016,AL,Mike Trout,LOS ANGELES,116.0
2016,NL,Paul Goldschmidt,ARIZONA,110.0
2017,AL,Aaron Judge,NEW YORK,127.0
2017,NL,Joey Votto,CINCINNATI,134.0
2018,AL,Mike Trout,LOS ANGELES,122.0
2018,NL,Bryce Harper,WASHINGTON,130.0
2019,AL,Alex Bregman,HOUSTON,119.0
2019,NL,Rhys Hoskins,PHILADELPHIA,116.0
2020,AL,Carlos Santana,CLEVELAND,47.0
2020,NL,Bryce Harper,PHILADELPHIA,49.0
2021,AL,Joey Gallo,NEW YORK,111.0
2021,NL,Juan Soto,WASHINGTON,145.0
2022,AL,Aaron Judge,NEW YORK,111.0
2022,NL,Juan Soto,SAN DIEGO,135.0
2023,AL,J.P. Crawford,SEATTLE,94.0
2023,NL,Juan Soto,SAN DIEGO,132.0
2024,AL,Aaron Judge,NEW YORK,133.0
2024,NL,Kyle Schwarber,PHILADELPHIA,106.0
2025,AL,Rafael Devers,BOSTON,56.0
2025,NL,Juan Soto,NEW YORK,61.0
